"Timestamp","How much Smalltalk experience do you have?","Where did you gain your Smalltalk experience?","How often do you develop software?","What Smalltalk dialect do you use primarily?","You mainly work ...","I access and/or inspect objects ... [Select:]","I modify variables in inspector windows ... [Select:]","I evaluate code snippets and/or run methods in inspector windows ... [Select:]","I keep inspector windows open for long periods of time. [Select:]","It is easy to access objects. [Confirm:]","Smalltalk offers many ways to access or inspect objects. [Confirm:]","Accessing objects helps me to understand how programs work. [Confirm:]","Accessing objects helps me to get immediate information about objects and/or program states. [Confirm:]","I debug programs ... [Select:]","I modify variables in debugger windows ... [Select:]","I evaluate code snippets and/or run methods in debugger windows ... [Select:]","Debugging programs helps me to understand how the programs work. [Confirm:]","Debugging programs helps me to get immediate information about program behaviors and/or states. [Confirm:]","I modify source code of running programs ... [Select:]","Modifying running programs helps me to understand how programs work. [Confirm:]","When I change the source code of a running program, I expect to see the effect of my changes immediately or very soon after. [Confirm:]","I write code snippets ... [Select:]","Writing code snippets helps me to identify what is the cause of a bug. [Confirm:]","Writing code snippets helps me to learn new libraries and/or programs. [Confirm:]","Writing code snippets helps me to identify how I should structure my source code. [Confirm:]","Writing code snippets helps me to get immediate information about program behaviors and/or states. [Confirm:]","I search for source code examples ... [in example classes and/or methods]","I search for source code examples ... [in class and/or method comments]","I search for source code examples ... [in help and/or example browsers]","I search for source code examples ... [in test cases]","I search for source code examples ... [in general source code]","I search for source code examples ... [on Internet and/or books]","Relevant source code examples are easy to find. [Confirm:]","Source code examples are easy to execute. [Confirm:]","Source code examples are easy to modify. [Confirm:]","Source code examples helps me to learn new libraries and/or programs. [Confirm:]","How often do you ask for examples, program usages, and/or issue solutions ... [to colleagues in person?]","How often do you ask for examples, program usages, and/or issue solutions ... [in chats and/or mailing lists?]","What do you use (attach) when discussing programming issues electronically? [screenshots]","What do you use (attach) when discussing programming issues electronically? [code snippets]","What do you use (attach) when discussing programming issues electronically? [source code]","What do you use (attach) when discussing programming issues electronically? [links to source code]","What do you use (attach) when discussing programming issues electronically? [patches or bug fixes]","What do you use (attach) when discussing programming issues electronically? [stack traces in text forms]","What do you use (attach) when discussing programming issues electronically? [serialized objects and/or programs]","What do you use (attach) when discussing programming issues electronically? [serialized stack traces]","It is easier to read a source code, rather than write a test case for it. [Familiar code]","It is easier to read a source code, rather than write a test case for it. [Unfamiliar code]","It is easier to read a source code, rather than write a code snippet to run it. [Familiar code]","It is easier to read a source code, rather than write a code snippet to run it. [Unfamiliar code]","It is easier to understand a source code by reading it, rather than by running its examples. [Familiar code]","It is easier to understand a source code by reading it, rather than by running its examples. [Unfamiliar code]","It is easier to find out a bug in a program by reading its source code, rather than by running the program. [Familiar code]","It is easier to find out a bug in a program by reading its source code, rather than by running the program. [Unfamiliar code]","I prefer to learn a source code by running examples, rather than learning it by reading its source code. [Familiar code]","I prefer to learn a source code by running examples, rather than learning it by reading its source code. [Unfamiliar code]","I prefer to check my source code changes as often as possible, rather than after I finish a task. [Familiar code]","I prefer to check my source code changes as often as possible, rather than after I finish a task. [Unfamiliar code]","Live programming in Smalltalk","Electronic communication in Smalltalk"
"2017/08/03 5:13:06 AM GMT-3","more than 10 years","Primarily in industry","Daily","VisualWorks","in a shared office","Very often","Often","Very often","Often","Agree","Somewhat agree","Agree","Agree","Very often","Often","Very often","Agree","Agree","Very often","Somewhat agree","Agree","Very often","Agree","Agree","Somewhat agree","Agree","Regularly","Often","Occasionally/ Sometimes","Often","Occasionally/ Sometimes","Regularly","Somewhat agree","Agree","Somewhat agree","Somewhat agree","Very often","Occasionally/ Sometimes","I do not want or need","I do easily","I do easily","Not applicable","I do easily","I do easily","I do not want or need","I do not want or need","Somewhat agree","Somewhat agree","Neutral","Somewhat disagree","Neutral","Somewhat disagree","Somewhat disagree","Disagree","Agree","Somewhat agree","Somewhat agree","Agree","",""
"2017/08/03 5:19:40 AM GMT-3","more than 10 years","Primarily in industry","Daily","Pharo","in a shared office","Very often","Occasionally/ Sometimes","Very often","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Very often","Occasionally/ Sometimes","Very often","Agree","Agree","Very often","Agree","Agree","Very often","Agree","Agree","I do not know","Agree","Very often","Rarely","Rarely","Regularly","Very often","Rarely","Agree","Somewhat agree","Agree","Agree","Regularly","Regularly","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","I do not want or need","I do not want or need","Somewhat agree","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Disagree","Disagree","Neutral","Neutral","Agree","Agree","",""
"2017/08/03 5:26:08 AM GMT-3","more than 10 years","In both (academia and industry)","Daily","Smalltalk/X, Bee Smalltalk","remotely, my co-workers are in other buildings and/or cities","Very often","Occasionally/ Sometimes","Very often","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Very often","Rarely","Very often","Agree","Agree","Very often","Somewhat agree","Agree","Very often","Somewhat agree","Agree","Neutral","Neutral","Regularly","Regularly","Not applicable","Regularly","Very often","Rarely","Neutral","Agree","Agree","Agree","Rarely","Rarely","I do easily","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do easily","","Not applicable","Not applicable","Agree","Neutral","Somewhat disagree","Neutral","Somewhat disagree","Somewhat disagree","Disagree","Disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","",""
"2017/08/03 5:27:38 AM GMT-3","3 to 5 years","Primarily in academia (student, profesor)","Daily","Pharo","in a shared office","Very often","Very often","Very often","Often","Somewhat disagree","Agree","Agree","Agree","Very often","Very often","Very often","Agree","Agree","Very often","Somewhat agree","Agree","Very often","Somewhat agree","Agree","Somewhat agree","Agree","Occasionally/ Sometimes","Regularly","Rarely","Often","Often","Occasionally/ Sometimes","Somewhat agree","Agree","Somewhat disagree","Neutral","Occasionally/ Sometimes","Rarely","I do not want or need","I do easily","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Somewhat disagree","Disagree","Disagree","Disagree","Somewhat disagree","Somewhat disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","",""
"2017/08/03 5:29:49 AM GMT-3","2 years or less","Hobby","Daily","Pharo","alone, without co-workers","Often","Regularly","Occasionally/ Sometimes","Rarely","Agree","Somewhat agree","Agree","Agree","Very often","Regularly","Rarely","Agree","Agree","Often","Agree","Agree","Often","Agree","Agree","Somewhat agree","Somewhat agree","Occasionally/ Sometimes","Regularly","Occasionally/ Sometimes","Regularly","Regularly","Occasionally/ Sometimes","Neutral","Agree","Somewhat agree","Agree","Occasionally/ Sometimes","Regularly","I do easily","I do easily","I do easily","I do easily","I do not, because exchanging it is too complex","I do easily","I do not, because exchanging it is too complex","I do easily","Somewhat agree","Somewhat disagree","Neutral","Neutral","Somewhat agree","Somewhat agree","Disagree","Disagree","Agree","Agree","Agree","Agree","",""
"2017/08/03 5:31:17 AM GMT-3","6 to 10 years","Primarily in industry","Daily","Pharo;VisualWorks;VSE, VAST","in a shared office","Very often","Regularly","Very often","Often","Agree","Agree","Agree","Agree","Very often","Occasionally/ Sometimes","Very often","Agree","Agree","Very often","Neutral","Agree","Very often","Somewhat disagree","Somewhat agree","Agree","Neutral","Occasionally/ Sometimes","Occasionally/ Sometimes","Rarely","Rarely","Occasionally/ Sometimes","Rarely","Somewhat disagree","Neutral","Neutral","Somewhat agree","Occasionally/ Sometimes","Occasionally/ Sometimes","I do not want or need","I do easily","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do not want or need","I do not, because exchanging it is too complex","I do not want or need","Agree","Agree","Somewhat disagree","Somewhat disagree","Neutral","Somewhat disagree","Disagree","Disagree","Neutral","Neutral","Agree","Agree","",""
"2017/08/03 5:37:31 AM GMT-3","more than 10 years","Primarily in industry","Daily","Pharo","in a shared office","Very often","Very often","Very often","Often","Agree","Agree","Agree","Agree","Very often","Very often","Very often","Agree","Agree","Very often","Agree","Agree","Regularly","Somewhat agree","Agree","Somewhat agree","Neutral","Regularly","Regularly","Rarely","Often","Regularly","Regularly","Neutral","Neutral","Neutral","Somewhat agree","Rarely","Rarely","I do, but exchanging it is (too) difficult","I do easily","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do not, because exchanging it is too complex","I do not want or need","I do not want or need","I do not want or need","Somewhat agree","Disagree","Somewhat agree","Disagree","Neutral","Disagree","Disagree","Disagree","Agree","Agree","Neutral","Somewhat agree","On a debugger, I often want to choose where to restart the execution after modifying the method.","one time desktop sharing"
"2017/08/03 5:39:09 AM GMT-3","2 years or less","Primarily in industry","Daily","VisualWorks","in a shared office","Very often","Regularly","Very often","Often","Agree","Agree","Agree","Agree","Very often","Often","Regularly","Agree","Agree","Very often","Agree","Agree","Very often","Agree","Agree","Agree","Agree","Rarely","Rarely","Rarely","Often","Rarely","Regularly","Neutral","Somewhat agree","Somewhat agree","Agree","Often","Rarely","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do easily","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","Neutral","Agree","Neutral","Agree","Somewhat disagree","Disagree","Disagree","Disagree","Agree","Agree","Somewhat agree","Somewhat agree","",""
"2017/08/03 5:51:57 AM GMT-3","more than 10 years","In both (academia and industry)","Daily","Pharo","in a shared office","Very often","Very often","Very often","Regularly","Agree","Agree","Agree","Agree","Very often","Very often","Very often","Agree","Agree","Very often","Agree","Agree","Very often","Agree","Agree","Somewhat agree","Agree","Regularly","Regularly","Rarely","Regularly","Often","Rarely","Neutral","Neutral","Neutral","Agree","Occasionally/ Sometimes","Occasionally/ Sometimes","I do easily","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do not want or need","I do easily","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","Disagree","Neutral","Disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","",""
"2017/08/03 5:53:36 AM GMT-3","3 to 5 years","Primarily in academia (student, profesor)","Weekly","Pharo","in a shared office","Very often","Not applicable","Very often","Rarely","Agree","Neutral","Somewhat agree","Agree","Regularly","I do not know","Rarely","Somewhat agree","Somewhat agree","Often","Somewhat agree","Agree","Very often","Somewhat agree","Neutral","Somewhat disagree","Neutral","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Disagree","Agree","Somewhat agree","Agree","Rarely","Occasionally/ Sometimes","I do not, because exchanging it is too complex","I do easily","I do not, because exchanging it is too complex","I do not want or need","I do not want or need","I do not want or need","I do not want or need","I do not want or need","I do not know","I do not know","I do not know","I do not know","I do not know","I do not know","Somewhat agree","Somewhat disagree","Not applicable","Agree","I do not know","I do not know","",""
"2017/08/03 5:54:43 AM GMT-3","3 to 5 years","In both (academia and industry)","Daily","Pharo","in a shared office","Very often","Occasionally/ Sometimes","Very often","Regularly","Agree","Agree","Agree","Agree","Very often","Often","Very often","Disagree","Disagree","Very often","Somewhat agree","Agree","Very often","Agree","Somewhat agree","I do not know","Agree","Very often","Often","Regularly","Very often","Very often","Often","Neutral","Somewhat agree","Agree","Agree","Often","Often","I do easily","I do easily","I do easily","I do, but exchanging it is (too) difficult","I do, but exchanging it is (too) difficult","I do easily","I do not know","I do not know","Somewhat agree","Disagree","Somewhat agree","Disagree","Somewhat agree","Disagree","Neutral","Disagree","Agree","Agree","Somewhat disagree","Somewhat disagree","",""
"2017/08/03 5:56:05 AM GMT-3","more than 10 years","Primarily in industry","Daily","VA/ST Instantiations","in a shared office","Very often","Very often","Very often","Very often","Agree","Agree","Agree","Agree","Often","Very often","Very often","Agree","Agree","Often","Agree","Agree","Regularly","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Often","Occasionally/ Sometimes","Rarely","Regularly","Regularly","Often","Agree","Agree","Agree","Agree","Often","Often","I do not want or need","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","I do easily","Agree","Somewhat agree","Agree","Somewhat agree","Somewhat agree","Neutral","Somewhat disagree","Somewhat disagree","Neutral","Neutral","Neutral","Neutral","",""
"2017/08/03 5:59:08 AM GMT-3","3 to 5 years","Primarily in academia (student, profesor)","Less than weekly","Pharo","alone, without co-workers","Regularly","Rarely","Regularly","Often","Somewhat agree","Neutral","Agree","Agree","Occasionally/ Sometimes","Rarely","Rarely","Agree","Somewhat agree","Regularly","Somewhat agree","Agree","Occasionally/ Sometimes","Agree","Somewhat agree","Agree","Agree","Rarely","Rarely","Rarely","Rarely","Rarely","Occasionally/ Sometimes","Somewhat agree","Neutral","Neutral","Somewhat agree","Occasionally/ Sometimes","Rarely","I do not know","I do, but exchanging it is (too) difficult","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","I do not want or need","I do not want or need","I do not want or need","Disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Neutral","Disagree","Somewhat disagree","Agree","Somewhat agree","Disagree","Somewhat agree","",""
"2017/08/03 5:59:30 AM GMT-3","more than 10 years","Primarily in industry","Daily","Pharo","in a single person office","Very often","Rarely","Occasionally/ Sometimes","Rarely","Agree","Agree","Agree","Agree","Very often","Occasionally/ Sometimes","Very often","Agree","Agree","Often","Agree","Agree","Very often","Agree","Agree","Somewhat agree","Agree","Often","Rarely","Rarely","Often","Often","Regularly","Somewhat agree","Somewhat agree","Neutral","Agree","Occasionally/ Sometimes","Often","I do easily","I do easily","I do not, because exchanging it is too complex","I do not, because exchanging it is too complex","Not applicable","I do easily","Not applicable","Not applicable","Somewhat agree","Agree","Agree","Agree","Neutral","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","",""
"2017/08/03 6:02:14 AM GMT-3","3 to 5 years","Primarily in industry","Daily","Pharo;GemStone","remotely, my co-workers are in other buildings and/or cities","Often","Often","Often","Occasionally/ Sometimes","Agree","Agree","Somewhat agree","Agree","Often","Often","Regularly","Somewhat agree","Agree","Regularly","Neutral","Agree","Often","Agree","Agree","Somewhat agree","Somewhat agree","Regularly","Rarely","Rarely","Regularly","Regularly","Occasionally/ Sometimes","Somewhat agree","Somewhat agree","Neutral","Somewhat agree","Occasionally/ Sometimes","Rarely","I do, but exchanging it is (too) difficult","I do easily","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Somewhat disagree","Agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Neutral","Neutral","Somewhat disagree","Somewhat disagree","less intrusive debugger i.e. ability to view object values more easily. playground is a good first steps",""
"2017/08/03 6:10:37 AM GMT-3","6 to 10 years","Primarily in industry","Weekly","Pharo","in a shared office","Often","Regularly","Often","Very often","Agree","Agree","Agree","Agree","Occasionally/ Sometimes","Rarely","Occasionally/ Sometimes","Agree","Agree","Occasionally/ Sometimes","Neutral","Agree","Rarely","Neutral","Agree","Neutral","Neutral","Regularly","Occasionally/ Sometimes","Rarely","Often","Often","Regularly","Somewhat disagree","Agree","Agree","Agree","Often","Rarely","I do not know","I do not know","I do not know","I do not know","I do not know","I do not know","I do not know","I do not know","Agree","Somewhat agree","Somewhat agree","Neutral","Agree","Somewhat agree","Disagree","Disagree","Somewhat agree","Somewhat agree","Agree","Agree","",""
"2017/08/03 6:25:25 AM GMT-3","more than 10 years","In both (academia and industry)","Daily","VisualWorks","in a shared office","Very often","Occasionally/ Sometimes","Very often","Regularly","Agree","Agree","Agree","Agree","Very often","Rarely","Rarely","Agree","Agree","Very often","Agree","Agree","Regularly","Agree","Agree","Neutral","Agree","Regularly","Regularly","Rarely","Regularly","Often","Occasionally/ Sometimes","Agree","Agree","Agree","Agree","Occasionally/ Sometimes","Rarely","I do not want or need","I do easily","I would like, but I am not authorized to do this","I would like, but I am not authorized to do this","I do not want or need","I would like, but I am not authorized to do this","I would like, but I am not authorized to do this","I would like, but I am not authorized to do this","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Not applicable","Agree","Agree","Agree","natural","complex"
"2017/08/03 6:26:30 AM GMT-3","3 to 5 years","self research","Daily","Pharo;Squeak","alone, without co-workers","Regularly","Rarely","Occasionally/ Sometimes","Regularly","Agree","Agree","Agree","Agree","Regularly","Rarely","Rarely","Neutral","Agree","Occasionally/ Sometimes","Somewhat agree","Agree","Regularly","Somewhat agree","Agree","Somewhat agree","I do not know","Regularly","Regularly","Regularly","Occasionally/ Sometimes","Regularly","Regularly","Neutral","Somewhat agree","Agree","Agree","Not applicable","Occasionally/ Sometimes","I do easily","I do easily","I do easily","I do not, because exchanging it is too complex","I do not know","I do not want or need","I do not know","I do not want or need","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","",""
